year,personID,name,gender,HL.50K,T.MTN,PL.50K,GS.100,MMTR,Hellgate,Total.Beast.Time
2013,P2132,Justin Peake ,M,5:59:48,6:27:27,7:25:07,NA,11:27:55,16:41:58,48:02:15
2013,P194,Marc Griffin ,M,4:49:50,5:34:35,6:17:05,NA,9:36:25,15:45:46,42:03:41
2013,P187,Mark Manny ,M,4:23:19,5:09:10,5:44:18,NA,9:46:18,15:28:02,40:31:07
2013,P177,Megan Stegemiller ,F,5:36:25,6:09:51,6:43:04,NA,9:22:35,14:32:02,42:23:57
2013,P172,Michael Dunlop ,M,5:57:19,6:33:04,7:30:40,NA,11:21:29,16:55:14,48:17:46
2013,P171,Michael Hannon ,M,5:27:15,6:28:31,7:27:13,NA,10:31:54,16:21:16,46:16:09
2013,P164,Michael Rogers ,M,5:40:29,6:59:42,7:35:58,NA,11:32:31,15:54:48,47:43:28
2013,P127,Rick Gray ,M,5:01:41,5:49:41,6:30:51,NA,10:39:10,15:20:52,43:22:15
2013,P104,Ryan Nebel ,M,4:35:43,5:06:49,5:40:34,NA,9:26:20,15:01:46,39:51:12
2013,P94,Scott Newcomer ,M,4:50:46,5:35:10,6:15:13,NA,9:27:38,14:52:34,41:01:21
2013,P80,Stephanie Wilson ,F,5:13:33,6:16:53,7:00:09,NA,11:40:25,16:48:24,46:59:24
2013,P62,Todd Thomas ,M,4:53:23,6:03:51,5:25:40,NA,9:44:14,13:50:28,39:57:36
2012,,Al Eder,M,6:26:36,8:24:22,7:55:06,33:48:01,12:27:57,17:33:36,86:35:38
2012,P1041,Bob Jasinski,M,4:45:53,5:30:19,6:55:21,26:08:31,10:04:45,14:08:50,67:33:39
2012,P1071,Chris Bernard,M,4:24:02,4:53:30,5:20:13,28:42:40,9:34:20,15:55:59,68:50:44
2012,P1090,Daren Marceau,M,5:35:10,6:45:03,7:18:14,37:30:53,12:11:22,17:14:31,86:35:13
2012,P25,David Snipes,M,5:35:28,6:49:01,7:34:43,34:23:06,11:52:01,16:34:42,82:49:01
2012,P2024,Drew Fratrick,M,5:56:08,7:28:59,8:12:15,34:33:25,12:03:25,16:56:38,85:10:50
2012,P2032,Eric Rohnacher,M,6:24:30,7:33:16,8:27:21,35:28:59,12:09:30,17:43:55,87:47:31
2012,P2045,Guy Love,M,4:59:59,5:16:57,6:15:07,24:51:12,8:58:06,13:28:16,63:49:37
2012,P2083,Jeffrey Thompson,M,5:02:20,5:16:23,5:55:42,29:17:48,11:07:30,15:55:59,72:35:42
2012,P2086,Jennifer Broton,F,6:47:05,7:04:13,7:56:11,36:25:14,12:24:48,17:35:16,88:12:47
2012,P2096,Jim Ashworth,M,4:45:05,5:33:48,6:57:20,27:20:44,11:29:06,16:17:46,72:23:49
2012,P2111,John Dailey,M,6:03:42,6:51:05,7:43:42,35:29:34,11:51:01,17:51:15,85:50:19
2012,P33,Keith Knipling,M,4:36:14,5:12:39,5:24:03,22:34:42,9:06:32,12:48:13,59:42:23
2012,P215,Kevin Martin,M,5:44:40,5:56:02,6:52:39,27:30:26,11:23:53,16:07:27,73:35:07
2012,P203,Kyle Fricke,M,5:17:12,5:23:58,5:56:19,27:17:09,10:09:19,14:53:11,68:57:08
2012,P194,Marc Griffin,M,4:58:45,5:57:55,6:53:18,28:07:20,10:05:24,15:15:44,71:18:26
2012,P172,Michael Dunlop,M,6:03:01,6:54:27,8:01:06,31:45:36,11:27:50,16:56:38,81:08:38
2012,P171,Michael Hannon,M,5:30:02,6:49:12,6:33:31,30:35:06,11:03:59,16:05:11,76:37:01
2012,P165,Michael Myers,M,4:33:45,5:32:25,5:57:04,23:46:55,9:36:56,13:48:05,63:15:10
2012,P131,Richard Key,M,4:56:24,5:45:49,7:29:00,26:56:21,10:47:58,15:19:21,71:14:53
2012,P79,Stephen Hinzman,M,6:13:03,7:39:29,8:04:37,32:48:48,12:14:31,17:17:02,84:17:30
2012,P63,Todd Bumgardner,M,5:29:52,5:53:24,6:26:49,26:45:20,10:23:43,14:50:47,69:49:55
2012,P47,Yosuke Murase,M,4:23:22,4:57:53,5:16:50,24:50:06,9:23:49,14:01:59,62:53:59
2011,P1000,Aaron Mulder,M,4:47:37,5:20:00,5:57:40,22:33:12,11:49:42,14:20:05,64:48:17
2011,P1044,Brad Fogleman,M,5:40:24,6:36:58,7:44:11,32:54:02,11:12:11,16:46:37,80:54:23
2011,P1053,Brian Kelleher,M,5:04:53,5:43:14,6:41:17,28:50:23,10:32:07,17:17:44,74:09:38
2011,P1066,Carrie Lombardo,F,5:46:43,6:22:25,7:19:29,33:50:32,11:22:27,16:54:03,81:35:39
2011,P1083,Dan Broom,M,5:34:43,6:32:13,7:26:35,35:53:31,11:41:29,16:22:08,83:30:39
2011,P25,David Snipes,M,6:02:46,6:22:25,7:14:39,31:31:34,10:41:44,16:35:44,78:28:52
2011,P2023,Doug Sullivan,M,5:57:44,6:19:18,7:25:49,33:07:15,11:21:56,17:03:05,81:15:07
2011,P2030,Eric Fogleman,M,5:29:32,6:00:06,7:28:02,32:54:02,11:09:57,16:46:37,79:48:16
2011,P2035,Ernesto Casarez,M,5:42:21,6:22:59,6:44:05,37:07:22,11:19:19,16:57:57,84:14:03
2011,P2038,Frank Gonzalez,M,3:59:59,4:25:05,5:07:59,19:41:42,7:49:38,11:23:16,52:27:39
2011,P2044,Gregg Holst,M,6:21:30,7:04:59,8:24:39,36:50:58,11:49:37,17:37:05,88:08:48
2011,P2072,Jason Duelge,M,5:46:30,5:59:58,7:07:07,34:16:05,10:13:54,16:07:01,79:30:35
2011,P2075,Jay Avitable,M,4:54:27,5:56:25,6:08:31,29:00:58,11:00:59,16:54:03,73:55:23
2011,P2086,Jennifer Broton,F,7:08:43,7:36:54,8:41:53,35:48:07,11:50:42,17:18:13,88:24:32
2011,P2092,Jeremy Alsop,M,4:49:00,5:36:32,5:57:40,28:15:06,10:22:38,15:12:58,70:13:56
2011,P2096,Jim Ashworth,M,5:15:25,5:36:23,6:50:06,28:15:55,9:59:29,15:10:04,71:07:22
2011,P2105,Joe Schramka,M,5:19:43,6:12:46,6:54:41,31:31:34,10:58:46,16:21:24,77:18:54
2011,P2110,John Cooper,M,6:02:13,6:45:43,7:32:09,30:49:21,10:56:25,16:13:22,78:19:13
2011,P2119,Jon Westmoreland,M,5:33:00,6:14:26,7:13:52,35:48:07,11:06:55,17:21:20,83:17:40
2011,P2139,Kelly Golden,M,6:01:40,6:48:29,7:21:02,37:07:22,11:05:06,16:53:16,85:16:55
2011,P35,Kerry Owens,F,5:57:44,6:24:59,7:20:50,28:43:35,10:47:47,16:22:34,75:37:29
2011,P214,Kevin Smith,M,4:41:29,5:02:46,5:40:40,23:39:52,9:14:35,13:44:14,62:03:36
2011,P194,Marc Griffin,M,4:57:42,5:52:56,6:25:57,30:51:58,10:02:33,16:03:42,74:14:48
2011,P174,Michael Ballard,M,5:50:49,6:32:01,6:50:12,29:29:52,10:27:45,16:11:04,75:21:43
2011,P108,Rush Combs,M,6:04:34,6:09:53,6:57:32,36:48:22,11:26:35,17:37:22,85:04:18
2011,P106,Ryan Fulwider,M,5:10:38,5:50:58,6:29:31,28:50:33,10:22:38,16:31:55,73:16:13
2011,P64,Timothy Scott,M,5:49:22,7:27:21,7:55:47,34:46:08,11:37:07,17:47:37,85:23:22
2011,P57,Tyler Peek,M,4:55:53,5:36:30,6:24:24,30:24:22,9:41:38,16:47:39,73:50:26
2011,P49,Will Jorgensen,M,5:14:51,6:00:34,6:40:50,30:30:30,10:29:15,14:25:15,73:21:15
2010,P1002,Adam Eidson ,M,7:12:45,7:10:45,6:47:00,28:15:17,10:38:35,15:50:43,75:55:05
2010,P1052,Brian Hayes,M,5:14:16,5:05:13,5:33:29,29:55:32,9:34:14,14:24:05,69:46:49
2010,P1079,Christopher Palladino ,M,5:25:30,5:06:06,6:13:34,29:42:08,9:51:05,15:08:11,71:26:34
2010,P2002,David Peterman,M,5:25:48,4:55:56,5:23:04,26:45:00,9:29:35,15:33:58,67:33:21
2010,P25,David Snipes ,M,7:00:17,6:14:10,7:03:22,29:00:47,9:58:45,15:40:31,74:57:52
2010,P2020,Doug Berlin ,M,5:36:41,5:37:24,6:24:51,30:35:50,9:45:33,15:33:12,73:33:31
2010,P2025,Ed Duval ,M,6:16:34,6:10:05,6:47:22,29:51:37,10:28:48,16:01:39,75:36:05
2010,P2038,Frank Gonzalez,M,5:15:23,5:01:56,5:20:59,22:56:24,8:21:44,12:27:46,59:24:12
2010,P2054,Henry Wakley,M,5:47:06,4:52:22,6:01:25,27:31:27,8:28:17,14:36:23,67:17:00
